kind,depth,ps_budget,ps_population,avoid_ancestors,metrics,problem,pRef_method,pRef_size,mse,mae,r_sq,evs,cp
ps,2,50.0,100.0,False,simplicity variance,SAT_L,GA,10000,85.02103798126174,6.654575205596431,0.6097936172291185,0.6100311639651673,
ps,3,50.0,100.0,False,simplicity variance,SAT_L,GA,10000,63.090147505148295,5.086762192850813,0.7104460398155688,0.7104642403621347,
ps,4,50.0,100.0,False,simplicity variance,SAT_L,GA,10000,47.99028543265248,4.502207368103435,0.7797472704232968,0.779748993920809,
ps,5,50.0,100.0,False,simplicity variance,SAT_L,GA,10000,42.9974847788036,4.205752555846031,0.8026618657904322,0.8026945788354184,
ps,2,50.0,100.0,False,simplicity variance estimated_atomicity,SAT_L,GA,10000,108.51793203847608,7.124071638159825,0.5019539783101375,0.5026446577536197,
ps,3,50.0,100.0,False,simplicity variance estimated_atomicity,SAT_L,GA,10000,64.9575893914356,5.435989678119461,0.7018753641241758,0.7019083993537544,
ps,4,50.0,100.0,False,simplicity variance estimated_atomicity,SAT_L,GA,10000,52.31568326805261,4.808722314086417,0.7598957385733979,0.760018342561037,
ps,5,50.0,100.0,False,simplicity variance estimated_atomicity,SAT_L,GA,10000,46.91174460232412,4.344490583894595,0.7846972631082354,0.7850872207976591,
ps,2,50.0,100.0,False,simplicity variance,GC_S,uniform,10000,448.41980816855437,16.534393005059307,-0.0075944484954511005,-0.006947209835685975,
ps,3,50.0,100.0,False,simplicity variance,GC_S,uniform,10000,449.1298217918759,16.53645522611083,-0.009189841411158195,-0.008496015993830097,
ps,4,50.0,100.0,False,simplicity variance,GC_S,uniform,10000,450.1869593450405,16.572621971101515,-0.011565218034718105,-0.01087486825665529,
ps,5,50.0,100.0,False,simplicity variance,GC_S,uniform,10000,454.4199476284789,16.66552514401313,-0.02107669682589486,-0.02022203151605617,
ps,2,50.0,100.0,False,simplicity variance estimated_atomicity,GC_S,uniform,10000,446.6613569990159,16.508202114736722,-0.0036432277774953725,-0.0030096749513286447,
ps,3,50.0,100.0,False,simplicity variance estimated_atomicity,GC_S,uniform,10000,446.74026815063144,16.507561716016404,-0.0038205402798510146,-0.003185276695031103,
ps,4,50.0,100.0,False,simplicity variance estimated_atomicity,GC_S,uniform,10000,449.2101080650558,16.562382201112626,-0.009370243796763988,-0.008760755775755635,
ps,5,50.0,100.0,False,simplicity variance estimated_atomicity,GC_S,uniform,10000,450.2614141570757,16.557476834729254,-0.011732517190339298,-0.011039119425745092,
ps,2,50.0,100.0,False,simplicity variance,BT,GA,10000,121.25984577013053,7.96149355538128,0.5967317225908058,0.5967765888296819,
ps,3,50.0,100.0,False,simplicity variance,BT,GA,10000,89.38366015946904,6.813248590307963,0.7027408831661497,0.7031844729287694,
ps,4,50.0,100.0,False,simplicity variance,BT,GA,10000,63.09404084545966,5.637462195263462,0.7901710578226602,0.7906218047796162,
